الاسم اللاتيني	رقم التسلسل	العلامة المسمارية
us₅	494	𒇇
uš₇	016	𒅲
uš₈	056	𒀳
uš₉	480	𒁹
usa	598d	𒐍
usa₂	211	𒍑
usan	107n	𒄛
usan₂	327	𒄝
usan₃	394e	𒉮
usan₃-sur₅	394e	
usan₄	113	𒋜
usan₅	078	𒄷
usan₆	108	
ušbar	204v	𒌰
ušbar₂	181n	𒍬
ušbar₃	204b	𒌲
ušbar₄?	182	
ušbar₆	185	𒉞
ušbar₇	204a	𒌱
ušbur	204v	𒌰
ušbur₂	181n	𒍬
ušbur₃	204b	𒌲
ušbur₄	182	𒋨
ušbur₆	185	𒉞
ušbur₇	204a	𒌱
ušen	107n	𒄛
ušera	499v	𒇨
ušeri	499v	𒇨
usi	261	𒃥
usian	107n	𒄛
ussu	598d	𒑄 / 𒐍
ussu₃	331c	𒀼𒀼𒋰 / 𒑅
uštu	383	𒉿
uštug	383	𒉿
ušu	011	𒁔
usu₂	211	𒍑
ušu₂	447	𒌋𒌓
usu₃	171	
ušu₃	472	𒌍
ušub	123	𒋛𒀀
usug₅	024x	𒆈
usuh?	554n	
ušum	011	𒁔
usun	394e	𒉮
ušur₅	411	𒌋
ušuš	244v	𒃠
ut	381	𒌓
uṭ	381	𒌓
ut₂	339	𒀾
ut₅	122b	𒍚
ut₆	443	𒌋𒂵
uta	381	𒌓
utah	443	𒌋𒂵
utima	265	𒃟
utima₂	382v	𒌖
uttu₂	314	𒋃
uttu₄	003	𒈮 / 𒈯
utu	381	𒌓
utu₂	443	𒌋𒂵
uṭu₂	314	𒋃
utu₃	471	𒌋𒌋
uṭu₄	004	𒈯
utu₅	339	𒀾
utua	287	𒁭
utua₂	293	𒁦
utudi?	060a	
utuki?	060a	
utul₃	293	𒁦
utul₅	289	𒁟
utul₆	287	𒁭
utul₈	415	𒌋𒈬
utun	415	𒌋𒈬
utuwa	287	𒁭
utuwa₂	293	𒁦
uw	383	𒉿
uya	470	𒌋𒐊
uz₂	211	𒍑
uz₃	122b	𒍚
uz₄	131	𒊍
uz₅	494	𒇇
uza₃	122b	𒍚
uzaglal	360	𒀹
uzu	171	𒍜
uzu₂	181n	𒍬
uzu₅	447	𒌋𒌓
uzud	122b	𒍚
uzug₅	024x	𒆈
wa	383	𒉿
wa₂	005	𒁀
wa₃	318	𒌑
wa₆	342	𒈠
wan	471	𒌋𒌋
war₂	307	𒈥
war₃	050	𒀴
we	383	𒉿
wi	383	𒉿
wi₄	427	𒈪
wir	444	𒄊
wu	383	𒉿
wu₄	061	𒈬
wuk	003	𒈮
wuš	374	𒈲
ya	383	𒉿
ya₃	231	𒉌
ya₄	229n	𒉌𒌓
ye	383	𒉿
yi	383	𒉿
yi₂	142a	𒅀
yi₃	308	𒂊
yu	383	𒉿
za	586	𒍝
za₂	229n	𒉌𒌓
za₃	332	𒍠
za₄	087	𒉣
za₅	013	𒀭
za₆	028	𒆉
zab	393	𒂟
zabar₂	364n	𒍭
zadim	004	𒈯
zadra	314	
zadri	314	𒋃
zadru	314	𒋃
zag	332	𒍠
zag₂	295	𒉺
zaga	231	
zagga	231	𒉌
zagga₂	586	𒍝
zah	172	𒉈
zahan₂	443	𒌋𒂵
zak	332	𒍠
zak₂	295	𒉺
zal	231	𒉌
zal₂?	491	
zala	231	𒉌
zalag	381	𒌓
zalag₂	393	𒂟
zalag₃	355	
zalaga	381	𒌓
zalah	381	𒌓
zalli	231	𒉌
zamug	138	𒁾
zanaru	103v	𒈹
zandar	314	𒋃
zandara	314	𒋃
zanga	231	𒉌
zannaru	103v	𒈹 / 𒍝𒈽
zansur	515	𒇧
zanzana	400	𒄵
zap	393	𒂟
zap₂?	536	
zaq	332	𒍠
zaq₂	295	𒉺
zaq₄	190	𒍨
zar	491	𒇡
zar₂	231	𒉌
zar₃	164	𒋧
zar₄	072a	𒆰
zar₅	069	𒁁
zar₇	492	
zara	491	𒇡
zara₅	069	𒁁
zarih?	491	
zarim	491	
zat	366	
zaz	069	𒁁
zazana	144f	𒌊
zazna	144f	𒌊
ze	084	𒍣
ze₂	147	𒍢
ze₄	586	𒀓
zeb	395	𒍦
zeb₂	190	𒍨
zeb₃	297	𒄞
zeh₂	053	𒋚
zel	087	𒉣
zer	072a	𒆰
zer₃	374	𒈲
zezna	144f	𒌊
zi	084	𒍣
zi₂	147	𒍢
zi₄	200c	𒀓
zi₈?	322	
zib	395	𒍦
zib₂	190	𒍨
zib₃	297	𒄞
zib₄?	015	
zibin	283	𒁫
zibin₂	290	𒁬
zid	084	𒍣
zig	190	𒍨
zig₂	592	𒋝
zig₃	084	𒍣
zigum	484	
zih	569	𒄗
zih₂	053	𒋚
zik	190	𒍨
zik₀	332	𒍠
zik₂	592	𒋝
zik₃	049x	𒍇
zikum	484	𒇉
zikura	166f	𒆜𒐋
zil	087	𒉣
zil₂	126	𒋳
zil₃	012	𒋻
zin	008	𒊿
zip	395	𒍦
zip₃	295m	𒉺𒇻
zipah	074	𒈦
ziq	190	𒍨
ziq₂	592	𒋝
ziqi	190	𒍨
zir	072a	𒆰
zir₃	374	𒈲
zir₄	373	𒋤
ziri	072a	𒆰
zis	069	𒁁
ziz	069	𒁁
zizanu	366	𒆳
zizna	144f	𒌊
zu	006	𒍪
zu₂	015	𒅗
zu₃	555	𒍮
zu₄	069	𒁁
zu₆	373	𒋤
zu₇	467	𒂄
zu₉	028	𒆉
zub₂	395	𒍦
zubud	590	𒄪
zubur	364n	𒍭
zug	522	𒆹
zug₂	015	𒅗
zug₄	016	𒅲
zugud	590	𒄪
zuh	015	𒅗
zuk	522	𒆹
zukum	066c	𒍤𒀀 / 𒍤𒆸
zukum₂	066a	
zulug	355	𒈜
zuluhu₃	066a	𒍤𒀀 / 𒍤𒆸
zulumhi₃	066a	𒍤𒀀 / 𒍤𒆸
zum	555	𒍮
zuq	522	𒆹
zur	437	𒀫
zur₂	122d	𒋪
zur₄	491	𒇡
zur₅	481	𒇲
zur₈	353	𒊭
zuru₅	481	𒇲
zuru₉	069	𒁁
zurzub	309	𒂁
zurzub₂	322	𒆗
zusu	083	𒋥
zurzub₃	309	𒂁
zušu	083	𒋥
