الاسم اللاتيني	رقم التسلسل	العلامة المسمارية
gal₈	381	𒌓
gal₉	322	𒆗
gala₁₁	489	𒇂
gala₃	511	𒇥
gala₄	498	𒆽
gala₅	514	𒇏
gala₇	080	𒅅
gala₈	343	𒃲
gale	343	𒃲
galga	278	𒃌
galla₄	554	
gam	362	𒃵
gam₃	060x	𒆛
gam₄	143	𒃶
gamar	231	𒉌
gaml	110	𒆯
gamun₂	375	𒌁
gan	143	𒃶
gan₂	105	𒃷
gan₇	362	𒃵
gana	143	𒃶
gana₂	105	𒃷
gana₄	494	𒇇
gana₅	493	𒇆
gana₆	540	𒁱
ganam₄	494	𒇇
ganam₅	493	𒇆
ganam₆	540	𒁱
gansis	141a	𒋯
ganun	244v	𒃠
gap₂	088	𒆏
gar	597	𒃻
gar₁₃	058	𒋽
gar₁₄	376x	𒋼𒀀
gar₁₉	105	𒃸
gar₂	319n	𒂶
gar₃	333	𒃼
gar₄	297	𒄞
gar₅	345	𒈖
gar₆	087	𒉣
gar₇	307	𒈥
gar₈	567	𒋞
gar₉	319	𒂵
gara	597	𒃻
gara₂	319n	𒂶
gara₃	333	𒃼
gara₄	297	𒄞
gara₆	087	𒉣
gara₈	567	𒋞
gara₉	319	𒂵
garadin₂	369	𒊼
garadin₃	370	𒊽
garadin₅	529	𒆸𒆸
garak	105	𒃸
garak₅	597	𒃻
garaš	245	𒃕
garig	555	𒍮
garig₂	555	X
garim	513	𒇑
garin	513	𒇑
garu	392	𒌔
gas	192	𒄤
gaš	214	𒁉
gaṣ	192	𒄤
gas₂?	191	
gasa	023	𒅪
ga-ša-an-an-na	103v	
gasag?	269	
gašan	350	𒃽
gasibir	239	𒃊
gasikilla	272	𒃈
gat	090	𒃰
gat₂	063a	𒆐
gat₃	063c	𒆑
gayayu	494	𒇇
gaz	192	𒄤
gaz⁻	191	
gaz₂	191	𒄣
gaza	192	𒄤
gaza₃	023	𒅪
gazag?	269	
gazi₂	250c	𒃨
gazi₃	250b	𒃤
gazibu	371	𒁍
gazigal	258	𒂾
gazimbi	371	𒁍
gazinbi	371	𒁍
gazinbu	371	𒁍
ge	085	𒄀
ge₁₀	173	𒉋
ge₁₁?	595	
ge₁₂	558	𒊩𒆳
ge₁₃?	206	
ge₁₄	411	𒌋
